Periode,Total Aset (Jutaan Rp),Kredit yang Diberikan (Jutaan Rp),Laba_Bersih,Dana Pihak Ketiga (Giro+Tab+Dep),Harga_Close
2026-02-01,1.563.219.350,953.224.015,9.228.168,1.227.768.191,7089.64208984375
2026-01-01,1.559.675.229,948.956.778,4.998.701,1.225.423.452,7736.33251953125
2025-11-01,1.527.217.097,921.197.622,52.666.603,1.199.742.282,8113.82177734375
2025-10-01,1.498.655.101,923.540.867,48.256.793,1.179.678.959,7138.259765625
2025-08-01,1.476.024.326,920.872.163,39.058.614,1.160.134.189,7899.673828125
2025-07-01,1.466.750.654,923.512.447,34.707.591,1.162.055.997,8280.3818359375
2025-05-01,1.467.183.209,924.262.398,25.162.919,1.155.216.720,8399.3525390625
2025-04-01,1.456.437.422,923.096.220,20.211.428,1.147.755.399,8090.02783203125
2025-02-01,1.427.410.405,900.659.693,8.975.717,1.117.674.153,8725.7236328125
2025-01-01,1.430.855.803,893.025.912,4.726.267,1.120.467.751,8933.478515625
2024-11-01,1.415.407.416,875.782.049,50.472.852,1.109.459.802,9578.224609375
2024-10-01,1.396.684.240,858.062.031,46.226.027,1.100.125.981,9693.0712890625
2024-08-01,1.400.604.114,842.705.785,35.990.685,1.102.284.325,9532.2861328125
2024-07-01,1.379.197.093,832.340.650,31.396.033,1.100.706.986,9072.8994140625
2024-05-01,1.364.424.856,826.728.583,21.633.871,1.094.315.560,9003.990234375
2024-04-01,1.374.754.240,818.076.599,17.214.868,1.099.571.063,9049.9296875
2024-01-01,1.368.257.351,776.083.602,4.468.635,1.078.362.941,8441.9462890625
2023-11-01,1.354.493.804,758.430.078,44.152.723,1.072.136.032,7686.8076171875
2023-10-01,1.346.576.875,751.358.201,40.228.368,1.070.803.090,7887.91552734375
2023-08-01,1.328.199.062,729.222.099,31.708.956,1.059.677.206,8156.06005859375
2023-07-01,1.323.142.068,727.049.286,27.942.349,1.061.484.222,8178.40576171875
2023-05-01,1.296.524.538,713.190.742,19.376.212,1.040.880.621,8089.02490234375
2023-04-01,1.299.222.939,702.110.856,15.421.146,1.043.509.016,7820.87841796875
