Periode;Total Aset (Jutaan Rp);Kredit yang Diberikan (Jutaan Rp);Laba Bersih (Juataan Rp);Dana Pihak Ketiga (Giro+Tab+Dep)
Feb-26;1.563.219.350;953.224.015;9.228.168;1.227.768.191
Jan-26;1.559.675.229;948.956.778;4.998.701;1.225.423.452
Nov-25;1.527.217.097;921.197.622;52.666.603;1.199.742.282
Oct-25;1.498.655.101;923.540.867;48.256.793;1.179.678.959
Aug-25;1.476.024.326;920.872.163;39.058.614;1.160.134.189
Jul-25;1.466.750.654;923.512.447;34.707.591;1.162.055.997
May-25;1.467.183.209;924.262.398;25.162.919;1.155.216.720
Apr-25;1.456.437.422;923.096.220;20.211.428;1.147.755.399
Feb-25;1.427.410.405;900.659.693;8.975.717;1.117.674.153
Jan-25;1.430.855.803;893.025.912;4.726.267;1.120.467.751
Nov-24;1.415.407.416;875.782.049;50.472.852;1.109.459.802
Oct-24;1.396.684.240;858.062.031;46.226.027;1.100.125.981
Aug-24;1.400.604.114;842.705.785;35.990.685;1.102.284.325
Jul-24;1.379.197.093;832.340.650;31.396.033;1.100.706.986
May-24;1.364.424.856;826.728.583;21.633.871;1.094.315.560
Apr-24;1.374.754.240;818.076.599;17.214.868;1.099.571.063
Jan-24;1.368.257.351;776.083.602;4.468.635;1.078.362.941
Nov-23;1.354.493.804;758.430.078;44.152.723;1.072.136.032
Oct-23;1.346.576.875;751.358.201;40.228.368;1.070.803.090
Aug-23;1.328.199.062;729.222.099;31.708.956;1.059.677.206
Jul-23;1.323.142.068;727.049.286;27.942.349;1.061.484.222
May-23;1.296.524.538;713.190.742;19.376.212;1.040.880.621
Apr-23;1.299.222.939;702.110.856;15.421.146;1.043.509.016
Feb-23;1.291.725.637;686.778.768;8.114.839;1.023.178.317
Jan-23;1.283.325.106;679.137.923;4.704.672;1.022.084.601
Nov-22;1.282.598.920;680.419.908;36.452.968;1.024.104.301
Oct-22;1.281.194.448;681.407.253;31.889.486;1.028.241.034
Aug-22;1.254.765.256;662.620.644;24.547.433;1.010.247.886
Jul-22;1.251.244.395;658.634.802;21.284.876;1.007.982.273
May-22;1.257.067.226;642.025.895;14.386.174;1.018.377.143
Apr-22;1.261.407.848;640.517.158;11.477.108;1.015.351.345
Feb-22;1.221.534.692;615.472.522;6.288.953;971.292.902
Jan-22;1.214.793.207;611.446.606;3.558.703;968.850.663
Nov-21;1.191.949.259;601.993.049;30.123.241;949.163.587
Oct-21;1.171.663.418;595.712.765;27.087.012;934.655.789
Aug-21;1.133.399.378;587.158.796;20.023.565;904.813.717
Jul-21;1.120.424.381;583.055.368;16.898.787;896.633.125
May-21;1.102.750.104;575.881.723;10.623.454;877.637.639
Apr-21;1.077.818.479;573.495.870;9.007.752;858.812.269
Feb-21;1.064.787.379;563.593.279;5.106.583;838.524.052
Jan-21;1.053.811.272;562.076.065;2.917.967;832.997.115
Dec-20;1.056.362.108;575.648.735;26.279.151;834.829.069
Nov-20;1.027.878.671;566.533.037;24.738.503;805.686.964
Oct-20;1.009.351.770;565.245.892;22.827.927;790.444.217
